Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Benny,3/8 Training 1 ,3540.0,6.0,47.83783783783784,8.1,111.0,0.03135593220338983
Benny,3/8 Training 2,450.0,6.0,45.0,6.3,6.0,0.013333333333333334
Benny,3/8 Training Total,3990.0,6.0,47.5,8.1,117.0,0.029323308270676692
Benny,3/8 Game 1,650.0,6.0,72.22222222222223,8.5,37.0,0.05692307692307692
Benny,3/8 Game 2,590.0,6.0,65.55555555555556,8.1,36.0,0.061016949152542375
Benny,3/8 Game Total,1240.0,6.0,68.88888888888889,8.5,73.0,0.05887096774193548
Benny,3/29 Training 1,2340.0,5.0,57.073170731707314,7.0,3.0,0.001282051282051282
Benny,3/29 Training 2,730.0,5.0,48.666666666666664,6.6,5.0,0.00684931506849315
Benny,3/29 Training 3,780.0,5.0,55.714285714285715,7.4,14.0,0.017948717948717947
Benny,3/29 Training 4,1030.0,5.0,49.04761904761905,7.6,8.0,0.007766990291262136
Benny,3/29 Training 5,740.0,5.0,56.92307692307692,6.8,8.0,0.010810810810810811
Benny,3/29 Training 6,510.0,5.0,63.75,5.0,0.0,0.0
Benny,3/29 Training Total,6130.0,5.0,54.732142857142854,7.6,38.0,0.006199021207177814
Benny,3/29 Game 1,470.0,5.0,78.33333333333333,5.8,0.0,0.0
Benny,3/29 Game 2,460.0,5.0,65.71428571428571,8.3,32.0,0.06956521739130435
Benny,3/29 Game Total,930.0,5.0,71.53846153846153,8.3,32.0,0.034408602150537634
Benny,4/19 Training Total,840.0,5.0,52.5,5.4,0.0,0.0
Benny,4/19 Game 1,440.0,5.0,73.33333333333333,5.2,0.0,0.0
Benny,4/19 Game 2,490.0,5.0,81.66666666666667,8.1,7.0,0.014285714285714285
Benny,4/19 Game 3,480.0,5.0,80.0,8.7,9.0,0.01875
Benny,4/19 Game 4,600.0,5.0,85.71428571428571,6.1,1.0,0.0016666666666666668
Benny,4/19 Game 5,480.0,5.0,68.57142857142857,5.7,0.0,0.0
